Date,Open,High,Low,Close,Adj Close,Volume
3-Jun-25,840,845,820,835,835,"143,900"
2-Jun-25,860,865,840,845,845,"226,700"
28-May-25,865,865,835,845,845,"228,900"
27-May-25,860,870,855,865,865,"176,700"
26-May-25,850,865,850,860,860,"212,800"
23-May-25,850,855,840,850,850,"117,900"
22-May-25,845,860,835,845,845,"427,900"
21-May-25,840,860,840,845,845,"116,000"
20-May-25,875,875,825,840,840,"794,800"
19-May-25,885,885,855,870,870,"400,600"
16-May-25,890,895,880,885,885,"194,300"
15-May-25,890,910,865,885,885,"337,600"
14-May-25,900,915,880,890,890,"230,200"
9-May-25,910,910,900,900,900,"76,500"
8-May-25,900,920,880,910,910,"289,300"
7-May-25,920,920,890,890,890,"351,600"
6-May-25,920,945,910,910,910,"359,800"
5-May-25,925,945,920,920,920,"80,400"
2-May-25,915,930,905,920,920,"194,800"
30-Apr-25,920,920,890,900,900,"160,900"
29-Apr-25,945,965,920,920,920,"172,000"
28-Apr-25,950,965,910,945,945,"1,172,200"
25-Apr-25,920,930,865,910,910,"148,300"
24-Apr-25,890,915,885,910,910,"340,300"
23-Apr-25,910,910,875,890,890,"162,900"
22-Apr-25,910,910,885,910,910,"125,000"
21-Apr-25,895,910,880,910,910,"186,600"
17-Apr-25,935,935,875,895,895,"348,200"
16-Apr-25,855,935,845,935,935,"353,500"
15-Apr-25,830,865,825,850,850,"457,900"
14-Apr-25,825,840,805,825,825,"127,300"
11-Apr-25,800,860,800,825,825,"196,300"
10-Apr-25,815,845,815,825,825,"360,400"
9-Apr-25,830,845,815,815,815,"81,800"
8-Apr-25,830,855,810,830,830,"893,000"
27-Mar-25,855,925,845,870,870,"314,000"
26-Mar-25,900,905,870,875,875,"414,800"
25-Mar-25,805,915,790,900,900,"1,154,100"
24-Mar-25,890,895,675,805,805,"545,700"
21-Mar-25,885,900,875,885,885,"35,700"
20-Mar-25,910,910,880,890,890,"164,600"
19-Mar-25,895,920,880,910,910,"86,200"
18-Mar-25,900,900,865,900,900,"219,700"
17-Mar-25,905,905,880,900,900,"208,300"
14-Mar-25,890,900,880,880,880,"117,000"
13-Mar-25,900,900,890,890,890,"179,900"
12-Mar-25,885,910,885,890,890,"110,800"
11-Mar-25,915,920,890,910,910,"32,400"
10-Mar-25,915,930,895,900,900,"82,300"
7-Mar-25,940,940,910,915,915,"212,600"
6-Mar-25,930,945,915,915,915,"215,500"
5-Mar-25,890,940,860,940,940,"561,500"
4-Mar-25,920,920,880,890,890,"150,300"
3-Mar-25,900,935,875,920,920,"744,900"
28-Feb-25,900,910,845,900,900,"635,400"
27-Feb-25,920,935,895,900,900,"797,300"
26-Feb-25,940,940,920,925,925,"82,200"
25-Feb-25,945,960,920,940,940,"503,900"
24-Feb-25,940,960,940,940,940,"156,500"
21-Feb-25,940,965,935,940,940,"56,700"
20-Feb-25,950,975,935,935,935,"496,100"
19-Feb-25,940,950,935,940,940,"58,500"
18-Feb-25,930,950,930,940,940,"76,900"
17-Feb-25,925,965,900,930,930,"225,700"
14-Feb-25,935,945,915,925,925,"227,900"
13-Feb-25,920,950,885,950,950,"481,500"
12-Feb-25,890,925,890,910,910,"384,200"
11-Feb-25,915,945,890,890,890,"513,700"
10-Feb-25,915,925,900,915,915,"491,800"
7-Feb-25,945,950,850,910,910,"1,614,100"
6-Feb-25,955,960,945,950,950,"364,300"
5-Feb-25,"1,005.00","1,010.00",935,950,950,"1,651,800"
4-Feb-25,960,"1,120.00",950,"1,000.00","1,000.00","6,906,500"
3-Feb-25,970,970,915,940,940,"684,600"
31-Jan-25,"1,010.00","1,020.00",940,965,965,"1,284,300"
30-Jan-25,"1,035.00","1,045.00",965,"1,005.00","1,005.00","437,600"
24-Jan-25,"1,015.00","1,100.00",995,"1,010.00","1,010.00","847,800"
23-Jan-25,"1,090.00","1,090.00","1,000.00","1,000.00","1,000.00","639,100"
22-Jan-25,"1,060.00","1,100.00","1,010.00","1,090.00","1,090.00","1,613,900"
