Date,Open,High,Low,Close,Adj Close,Volume
3-Jun-25,"6,300.00","6,350.00","6,100.00","6,200.00","6,200.00","10,494,200"
2-Jun-25,"6,525.00","6,575.00","6,250.00","6,275.00","6,275.00","13,383,300"
28-May-25,"6,625.00","6,675.00","6,500.00","6,500.00","6,500.00","10,009,200"
27-May-25,"6,575.00","6,725.00","6,500.00","6,575.00","6,575.00","16,376,900"
26-May-25,"6,675.00","6,750.00","6,500.00","6,525.00","6,525.00","19,338,300"
23-May-25,"6,550.00","6,800.00","6,500.00","6,650.00","6,650.00","18,462,000"
22-May-25,"6,500.00","6,600.00","6,450.00","6,500.00","6,500.00","8,950,800"
21-May-25,"6,500.00","6,550.00","6,300.00","6,500.00","6,500.00","18,383,400"
20-May-25,"6,650.00","6,850.00","6,475.00","6,500.00","6,500.00","42,947,100"
19-May-25,"6,700.00","6,775.00","6,500.00","6,500.00","6,500.00","27,206,000"
16-May-25,"6,200.00","6,825.00","6,150.00","6,675.00","6,675.00","66,787,100"
15-May-25,"6,225.00","6,300.00","6,175.00","6,200.00","6,200.00","21,087,000"
14-May-25,"6,150.00","6,275.00","6,075.00","6,175.00","6,175.00","17,243,800"
9-May-25,"6,000.00","6,150.00","5,900.00","6,000.00","6,000.00","9,024,500"
8-May-25,"6,175.00","6,250.00","5,925.00","5,950.00","5,950.00","21,520,300"
7-May-25,"6,250.00","6,550.00","6,100.00","6,100.00","6,100.00","70,037,000"
6-May-25,"6,175.00","6,250.00","6,100.00","6,200.00","6,200.00","23,176,000"
5-May-25,"6,150.00","6,375.00","6,125.00","6,150.00","6,150.00","14,416,100"
2-May-25,"6,100.00","6,150.00","6,025.00","6,100.00","6,100.00","11,343,400"
30-Apr-25,"6,050.00","6,125.00","5,950.00","6,025.00","6,025.00","7,406,500"
29-Apr-25,"6,100.00","6,175.00","6,025.00","6,025.00","6,025.00","8,116,900"
28-Apr-25,"6,050.00","6,250.00","5,900.00","6,050.00","6,050.00","26,241,400"
25-Apr-25,"6,050.00","6,050.00","5,925.00","6,000.00","6,000.00","9,172,000"
24-Apr-25,"6,100.00","6,175.00","5,850.00","6,000.00","6,000.00","55,496,500"
23-Apr-25,"6,200.00","6,375.00","6,050.00","6,100.00","6,100.00","20,022,000"
22-Apr-25,"5,600.00","6,025.00","5,475.00","6,000.00","6,000.00","21,718,600"
21-Apr-25,"5,625.00","5,800.00","5,525.00","5,600.00","5,600.00","6,984,400"
17-Apr-25,"5,600.00","5,725.00","5,525.00","5,600.00","5,600.00","8,101,700"
16-Apr-25,"5,975.00","6,050.00","5,600.00","5,600.00","5,600.00","20,798,300"
15-Apr-25,"5,750.00","6,050.00","5,575.00","5,900.00","5,900.00","27,318,000"
14-Apr-25,"4,800.00","5,675.00","4,760.00","5,650.00","5,650.00","33,865,700"
11-Apr-25,"5,000.00","5,450.00","4,890.00","5,150.00","5,150.00","19,504,500"
10-Apr-25,"4,700.00","5,175.00","4,620.00","5,000.00","5,000.00","32,828,300"
9-Apr-25,"4,700.00","4,820.00","4,170.00","4,250.00","4,250.00","24,074,500"
8-Apr-25,"4,790.00","4,980.00","4,690.00","4,740.00","4,740.00","23,613,500"
27-Mar-25,"5,500.00","5,675.00","5,350.00","5,500.00","5,500.00","10,002,700"
26-Mar-25,"5,150.00","5,575.00","5,125.00","5,450.00","5,450.00","15,462,000"
25-Mar-25,"5,525.00","5,625.00","5,125.00","5,125.00","5,125.00","15,840,600"
24-Mar-25,"6,000.00","6,100.00","5,100.00","5,450.00","5,450.00","25,866,200"
21-Mar-25,"5,675.00","6,350.00","5,400.00","5,975.00","5,975.00","44,922,600"
20-Mar-25,"5,350.00","5,800.00","5,325.00","5,600.00","5,600.00","23,914,000"
19-Mar-25,"5,125.00","5,400.00","4,940.00","5,300.00","5,300.00","21,392,000"
18-Mar-25,"5,775.00","5,825.00","4,580.00","5,050.00","5,050.00","49,691,200"
17-Mar-25,"6,050.00","6,100.00","5,700.00","5,725.00","5,725.00","13,714,900"
14-Mar-25,"6,150.00","6,150.00","6,000.00","6,025.00","6,025.00","6,515,500"
13-Mar-25,"6,200.00","6,200.00","6,025.00","6,075.00","6,075.00","5,912,700"
12-Mar-25,"6,175.00","6,250.00","6,100.00","6,150.00","6,150.00","5,643,400"
11-Mar-25,"6,050.00","6,225.00","6,050.00","6,150.00","6,150.00","8,972,200"
10-Mar-25,"6,500.00","6,600.00","6,225.00","6,225.00","6,225.00","9,591,300"
7-Mar-25,"6,400.00","6,825.00","6,225.00","6,475.00","6,475.00","22,735,800"
6-Mar-25,"6,200.00","6,375.00","6,175.00","6,325.00","6,325.00","10,928,500"
5-Mar-25,"6,125.00","6,250.00","6,100.00","6,100.00","6,100.00","9,871,600"
4-Mar-25,"6,400.00","6,425.00","5,875.00","6,075.00","6,075.00","23,552,800"
3-Mar-25,"6,225.00","6,525.00","6,200.00","6,400.00","6,400.00","13,993,600"
28-Feb-25,"6,125.00","6,350.00","6,025.00","6,125.00","6,125.00","14,415,600"
27-Feb-25,"6,475.00","6,525.00","6,200.00","6,200.00","6,200.00","19,662,900"
26-Feb-25,"6,225.00","6,600.00","6,175.00","6,425.00","6,425.00","23,444,300"
25-Feb-25,"6,325.00","6,450.00","6,050.00","6,125.00","6,125.00","19,056,200"
24-Feb-25,"6,900.00","6,900.00","6,300.00","6,300.00","6,300.00","23,643,300"
21-Feb-25,"6,900.00","7,000.00","6,750.00","6,900.00","6,900.00","21,679,300"
20-Feb-25,"6,725.00","6,950.00","6,650.00","6,700.00","6,700.00","12,642,500"
19-Feb-25,"6,850.00","6,950.00","6,675.00","6,725.00","6,725.00","11,896,600"
18-Feb-25,"7,100.00","7,150.00","6,800.00","6,825.00","6,825.00","26,653,500"
17-Feb-25,"6,250.00","7,050.00","6,225.00","7,025.00","7,025.00","45,916,300"
