Date,Open,High,Low,Close,Adj Close,Volume
3-Jun-25,"1,300.00","1,355.00","1,300.00","1,315.00","1,315.00","97,197,100"
2-Jun-25,"1,350.00","1,350.00","1,290.00","1,305.00","1,305.00","79,937,400"
28-May-25,"1,350.00","1,355.00","1,310.00","1,350.00","1,350.00","75,770,500"
27-May-25,"1,380.00","1,410.00","1,320.00","1,345.00","1,345.00","207,423,600"
26-May-25,"1,325.00","1,350.00","1,260.00","1,350.00","1,350.00","179,136,000"
23-May-25,"1,365.00","1,375.00","1,315.00","1,335.00","1,335.00","75,247,700"
22-May-25,"1,410.00","1,420.00","1,360.00","1,365.00","1,365.00","158,215,800"
21-May-25,"1,325.00","1,470.00","1,295.00","1,395.00","1,395.00","424,993,300"
20-May-25,"1,260.00","1,405.00","1,260.00","1,300.00","1,300.00","313,859,900"
19-May-25,"1,285.00","1,315.00","1,230.00","1,240.00","1,240.00","108,295,900"
16-May-25,"1,110.00","1,325.00","1,110.00","1,270.00","1,270.00","357,890,700"
15-May-25,980,"1,080.00",980,"1,080.00","1,080.00","46,043,400"
14-May-25,950,995,950,975,975,"22,676,300"
9-May-25,960,970,940,945,945,"6,222,000"
8-May-25,945,965,930,955,955,"16,560,600"
7-May-25,945,960,930,945,945,"14,781,700"
6-May-25,915,940,915,940,940,"6,987,200"
5-May-25,920,925,905,915,915,"3,705,200"
2-May-25,910,925,910,915,915,"3,794,600"
30-Apr-25,940,940,905,910,910,"10,821,700"
29-Apr-25,920,945,920,940,940,"9,060,300"
28-Apr-25,960,960,915,925,925,"14,886,200"
25-Apr-25,930,"1,000.00",925,965,965,"38,235,300"
24-Apr-25,870,920,870,920,920,"24,384,200"
23-Apr-25,875,880,860,865,865,"8,723,500"
22-Apr-25,855,870,840,865,865,"9,237,900"
21-Apr-25,840,860,840,850,850,"5,951,500"
17-Apr-25,835,845,825,840,840,"4,194,700"
16-Apr-25,870,870,825,835,835,"10,213,300"
15-Apr-25,845,865,840,860,860,"12,691,700"
14-Apr-25,810,845,810,840,840,"14,882,700"
11-Apr-25,805,815,800,805,805,"6,165,600"
10-Apr-25,790,815,780,805,805,"19,108,600"
9-Apr-25,775,790,755,770,770,"18,945,300"
8-Apr-25,750,765,700,765,765,"16,041,100"
27-Mar-25,820,825,805,805,805,"7,528,200"
26-Mar-25,780,825,765,820,820,"16,327,600"
25-Mar-25,765,795,755,780,780,"6,199,300"
24-Mar-25,785,800,760,765,765,"8,368,400"
